Data;Taxa de juros prefixada - estrutura a termo - LTN - 12 meses - (% a.a.) - Associação Brasileira das Entidades dos Mercados Financeiro e de Capitais (Anbima) - ANBIMA366_TJTLN12366
20/01/2018;6,9284
21/01/2018;6,9128
22/01/2018;6,9128
23/01/2018;6,9277
24/01/2018;6,9128
25/01/2018;6,9277
26/01/2018;6,8462
27/01/2018;6,8547
28/01/2018;6,8267
29/01/2018;6,855
30/01/2018;6,8769
31/01/2018;6,855
01/02/2018;6,8769
02/02/2018;6,898
03/02/2018;6,8907
04/02/2018;6,9265
05/02/2018;6,9227
06/02/2018;6,9261
07/02/2018;6,9227
08/02/2018;6,9261
09/02/2018;6,9126
10/02/2018;6,8481
11/02/2018;6,8362
12/02/2018;
13/02/2018;
14/02/2018;6,801
15/02/2018;6,7595
16/02/2018;6,801
17/02/2018;6,7595
18/02/2018;6,7031
19/02/2018;6,6656
20/02/2018;6,6656
21/02/2018;6,6455
22/02/2018;6,614
23/02/2018;6,6805
24/02/2018;6,6607
25/02/2018;
26/02/2018;6,6805
27/02/2018;6,6805
28/02/2018;6,6885
01/03/2018;6,6638
02/03/2018;6,6673
03/03/2018;6,6133
04/03/2018;
05/03/2018;6,5576
06/03/2018;6,5576
07/03/2018;6,5451
08/03/2018;6,5301
09/03/2018;6,5234
10/03/2018;6,5079
11/03/2018;
12/03/2018;6,5116
13/03/2018;6,5116
14/03/2018;6,521
15/03/2018;6,5707
16/03/2018;6,5876
17/03/2018;6,5693
18/03/2018;
19/03/2018;6,5637
20/03/2018;6,5637
21/03/2018;6,5763
22/03/2018;6,5774
23/03/2018;6,3494
24/03/2018;6,3472
25/03/2018;
26/03/2018;6,3076
27/03/2018;6,3076
28/03/2018;6,3298
29/03/2018;6,3264
30/03/2018;6,3038
31/03/2018;
01/04/2018;
02/04/2018;6,3019
03/04/2018;6,3019
04/04/2018;6,307
05/04/2018;6,342
06/04/2018;6,3063
07/04/2018;6,3235
08/04/2018;
09/04/2018;6,355
10/04/2018;6,355
11/04/2018;6,3559
12/04/2018;6,3379
13/04/2018;6,2965
14/04/2018;6,2647
15/04/2018;
16/04/2018;6,274
17/04/2018;6,274
18/04/2018;6,2814
19/04/2018;6,2792
20/04/2018;6,2994
21/04/2018;6,2658
22/04/2018;
23/04/2018;6,2866
24/04/2018;6,2866
25/04/2018;6,2892
26/04/2018;6,3105
27/04/2018;6,3152
28/04/2018;6,2987
29/04/2018;
30/04/2018;6,3188
01/05/2018;6,3188
02/05/2018;6,354
03/05/2018;6,354
04/05/2018;6,3822
05/05/2018;6,4009
06/05/2018;
07/05/2018;6,4395
08/05/2018;6,4395
09/05/2018;6,5296
10/05/2018;6,5349
11/05/2018;6,4824
12/05/2018;6,5406
13/05/2018;
14/05/2018;6,632
15/05/2018;6,632
16/05/2018;6,6001
17/05/2018;6,5665
18/05/2018;6,8843
19/05/2018;6,9628
20/05/2018;
21/05/2018;6,9133
22/05/2018;6,9133
23/05/2018;6,823
24/05/2018;6,7747
25/05/2018;6,8667
26/05/2018;6,914
27/05/2018;
28/05/2018;7,0132
29/05/2018;7,0132
30/05/2018;7,0484
31/05/2018;7,0968
01/06/2018;7,0041
02/06/2018;7,0041
03/06/2018;
